[2023-11-3 21:50] Accepted game request from klo | 3ENH6. Points: 100 Games: 0
[2023-11-3 21:50] Accepted game request from uip | 9UDTA. Points: 100 Games: 0
[2023-11-3 21:50] Accepted game request from klo | 3ENH6. Points: 100 Games: 1
[2023-11-3 21:52] klo | 3ENH6 point updated 200
[2023-11-3 21:52] uip | 9UDTA point updated 0
[2023-11-3 21:53] Accepted game request from uip | 9UDTA. Points: 100 Games: 1
[2023-11-3 21:53] Accepted game request from klo | 3ENH6. Points: 200 Games: 2
[2023-11-3 21:54] klo | 3ENH6 point updated 100
[2023-11-3 21:54] uip | 9UDTA point updated 0
[2023-11-3 21:54] klo | 3ENH6 point updated 101
[2023-11-3 21:54] uip | 9UDTA point updated -1
[2023-11-3 21:55] klo | 3ENH6 point updated 100
[2023-11-3 21:55] uip | 9UDTA point updated -2
[2023-11-3 21:55] klo | 3ENH6 point updated 100
[2023-11-3 21:55] uip | 9UDTA point updated -2
[2023-11-3 21:55] klo | 3ENH6 point updated 100
[2023-11-3 21:55] uip | 9UDTA point updated -2
[2023-11-3 21:56] klo | 3ENH6 point updated 0
[2023-11-3 21:56] uip | 9UDTA point updated 98
[2023-11-3 21:59] Accepted game request from uip | 9UDTA. Points: 100 Games: 0
[2023-11-3 21:59] Accepted game request from klo | 3ENH6. Points: 100 Games: 0
[2023-11-3 21:59] Accepted game request from klo | 3ENH6. Points: 100 Games: 1
[2023-11-3 21:59] Accepted game request from uip | 9UDTA. Points: 100 Games: 1
[2023-11-3 22:0] klo | 3ENH6 point updated 0
[2023-11-3 22:0] uip | 9UDTA point updated 200
[2023-11-3 22:1] Accepted game request from klo | 3ENH6. Points: 100 Games: 2
[2023-11-3 22:1] Accepted game request from uip | 9UDTA. Points: 200 Games: 2
[2023-11-3 22:1] klo | 3ENH6 point updated -100
[2023-11-3 22:1] uip | 9UDTA point updated 400
[2023-11-3 22:23] Accepted game request from uip | 9UDTA. Points: 100 Games: 0
[2023-11-3 22:24] Accepted game request from klo | 3ENH6. Points: 100 Games: 0
[2023-11-3 22:24] Accepted game request from uip | 9UDTA. Points: 100 Games: 1
[2023-11-3 22:24] uip | 9UDTA point updated 200
[2023-11-3 22:24] klo | 3ENH6 point updated 200
[2023-11-3 22:31] Accepted game request from uip | 9UDTA. Points: 100 Games: 0
[2023-11-3 22:31] Accepted game request from klo | 3ENH6. Points: 100 Games: 0
